,region_accueil,province_accueil,commune_accueil,province_depart,commune_depart,MASCULIN,FEMININ,annee_collecte,mois_num,total
31,Est,Komondjari,Gayeri,Sanmatenga,Barsalogho,14,11,2019,10,25
32,Est,Komondjari,Gayeri,Kompienga,Pama,18,18,2019,10,36
33,Est,Kompienga,Pama,Soum,Kelbo,27,35,2019,10,62
34,Est,Kompienga,Pama,Sanmatenga,Barsalogho,33,40,2019,10,73
35,Est,Kompienga,Pama,Sanmatenga,Kaya,16,14,2019,10,30
36,Est,Kompienga,Pama,Soum,Koutougou,4,6,2019,10,10
37,Nord,Zondoma,Gourcy,Soum,Arbinda,8,8,2019,10,16
38,Nord,Passore,Yako,Soum,Arbinda,96,104,2019,10,200
39,Nord,Loroum,Titao,Loroum,Titao,2251,2536,2019,10,4787
40,Nord,Passore,Yako,Soum,Koutougou,7,4,2019,10,11
41,Nord,Yatenga,Kalsaka,Soum,Tongomayel,68,68,2019,10,136
42,Nord,Yatenga,Kalsaka,Bam,Kongoussi,4,3,2019,10,7
43,Nord,Yatenga,Kalsaka,Soum,Arbinda,16,17,2019,10,33
44,Nord,Passore,Yako,Soum,Tongomayel,13,10,2019,10,23
45,Nord,Passore,Yako,Soum,Nassoumbou,2,2,2019,10,4
46,Nord,Loroum,Titao,Loroum,Ouindigui,868,942,2019,10,1810
47,Nord,Zondoma,Gourcy,Loroum,Ouindigui,3,1,2019,10,4
48,Nord,Yatenga,Ouahigouya,Soum,Tongomayel,165,180,2019,10,345
49,Nord,Yatenga,Ouahigouya,Soum,Arbinda,302,305,2019,10,607
50,Nord,Yatenga,Kalsaka,Soum,Djibo,6,11,2019,10,17
51,Nord,Yatenga,Oula,Yatenga,Kain,48,72,2019,10,120
52,Nord,Yatenga,Oula,Soum,Tongomayel,13,15,2019,10,28
53,Nord,Yatenga,Ouahigouya,Loroum,Solle,251,249,2019,10,500
54,Nord,Loroum,Titao,Loroum,Solle,32,31,2019,10,63
55,Nord,Yatenga,Ouahigouya,Loroum,Banh,109,100,2019,10,209
56,Nord,Yatenga,Ouahigouya,Yatenga,Kain,24,29,2019,10,53
57,Nord,Yatenga,Kalsaka,Soum,Koutougou,4,5,2019,10,9
58,Nord,Yatenga,Ouahigouya,Soum,Koutougou,16,17,2019,10,33
59,Nord,Yatenga,Oula,,,20,21,2019,10,41
60,Boucle du mouhoun,Banwa,Kouka,Kossi,Barani,8,11,2019,10,19
61,Boucle du mouhoun,Banwa,Solenzo,Soum,Kelbo,10,15,2019,10,25
62,Boucle du mouhoun,Banwa,Solenzo,Soum,Diguel,3,2,2019,10,5
63,Boucle du mouhoun,Banwa,Solenzo,Loroum,Titao,9,9,2019,10,18
64,Boucle du mouhoun,Banwa,Solenzo,Seno,Dori,12,8,2019,10,20
65,Boucle du mouhoun,Banwa,Kouka,Soum,Djibo,10,6,2019,10,16
66,Boucle du mouhoun,Banwa,Solenzo,Sanmatenga,Dablo,9,9,2019,10,18
67,Boucle du mouhoun,Banwa,Solenzo,Seno,Gorgadji,4,5,2019,10,9
68,Boucle du mouhoun,Banwa,Solenzo,Soum,Arbinda,26,38,2019,10,64
69,Boucle du mouhoun,Banwa,Solenzo,Sanmatenga,Barsalogho,20,19,2019,10,39
70,Boucle du mouhoun,Banwa,Solenzo,Sanmatenga,Pensa,15,16,2019,10,31
71,Nord,Yatenga,Ouahigouya,,,62,75,2019,10,137
72,Nord,Yatenga,Ouahigouya,Loroum,Ouindigui,2,4,2019,10,6
73,Nord,Loroum,Banh,,,179,158,2019,10,337
74,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Tongomayel,62,63,2019,10,125
75,Boucle du mouhoun,Mouhoun,Dedougou,Oudalan,Deou,5,8,2019,10,13
76,Boucle du mouhoun,Mouhoun,Dedougou,Kossi,Barani,7,5,2019,10,12
77,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Djibo,4,8,2019,10,12
78,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Kelbo,2,3,2019,10,5
79,Boucle du mouhoun,Mouhoun,Dedougou,,,3,1,2019,10,4
80,Boucle du mouhoun,Banwa,Solenzo,Soum,Tongomayel,61,74,2019,10,135
81,Boucle du mouhoun,Banwa,Solenzo,Soum,Koutougou,7,16,2019,10,23
82,Boucle du mouhoun,Banwa,Solenzo,,,9,15,2019,10,24
83,Nord,Loroum,Banh,Loroum,Banh,170,181,2019,10,351
84,Boucle du mouhoun,Banwa,Balave,Soum,Tongomayel,9,6,2019,10,15
85,Boucle du mouhoun,Banwa,Solenzo,Loroum,Solle,2,2,2019,10,4
86,Boucle du mouhoun,Banwa,Solenzo,Soum,Djibo,2,4,2019,10,6
87,Nord,Yatenga,Ouahigouya,Soum,Nassoumbou,21,36,2019,10,57
88,Nord,Yatenga,Ouahigouya,Soum,Djibo,11,10,2019,10,21
89,Boucle du mouhoun,Bale,Pa,Soum,Kelbo,32,44,2019,10,76
90,Boucle du mouhoun,Bale,Boromo,Soum,Arbinda,38,59,2019,10,97
91,Boucle du mouhoun,Bale,Pa,Soum,Arbinda,14,16,2019,10,30
92,Boucle du mouhoun,Bale,Boromo,Soum,Pobe-mangao,22,14,2019,10,36
93,Boucle du mouhoun,Bale,Boromo,Soum,Tongomayel,1,2,2019,10,3
94,Boucle du mouhoun,Bale,Boromo,Soum,Djibo,29,27,2019,10,56
95,Boucle du mouhoun,Banwa,Sanaba,Soum,Nassoumbou,6,5,2019,10,11
96,Boucle du mouhoun,Banwa,Sanaba,Kossi,Barani,11,9,2019,10,20
97,Boucle du mouhoun,Sourou,Tougan,Sourou,Gomboro,51,39,2019,10,90
98,Boucle du mouhoun,Sourou,Tougan,Sourou,Tougan,115,152,2019,10,267
99,Boucle du mouhoun,Sourou,Tougan,Sourou,Kiembara,13,3,2019,10,16
100,Boucle du mouhoun,Sourou,Tougan,Sourou,Kassoum,70,40,2019,10,110
101,Boucle du mouhoun,Sourou,Tougan,Sourou,Toeni,641,456,2019,10,1097
102,Boucle du mouhoun,Sourou,Tougan,Yatenga,Kain,21,18,2019,10,39
103,Nord,Yatenga,Ouahigouya,Soum,Baraboule,34,38,2019,10,72
104,Boucle du mouhoun,Sourou,Tougan,Sourou,Di,30,16,2019,10,46
105,Boucle du mouhoun,Sourou,Tougan,Bam,Zimtenga,3,1,2019,10,4
106,Boucle du mouhoun,Sourou,Tougan,Sourou,Lankoue,12,9,2019,10,21
107,Boucle du mouhoun,Nayala,Toma,Soum,Djibo,3,3,2019,10,6
108,Boucle du mouhoun,Nayala,Yaba,Sourou,Gomboro,16,17,2019,10,33
109,Boucle du mouhoun,Nayala,Yaba,Yatenga,Thiou,6,4,2019,10,10
110,Nord,Loroum,Banh,Soum,Tongomayel,5,7,2019,10,12
111,Nord,Loroum,Titao,Soum,Pobe-mangao,15,17,2019,10,32
112,Nord,Loroum,Banh,Soum,Baraboule,16,9,2019,10,25
113,Nord,Loroum,Banh,Loroum,Solle,27,27,2019,10,54
114,Nord,Loroum,Solle,Loroum,Solle,17,15,2019,10,32
115,Nord,Loroum,Titao,Loroum,Banh,1,2,2019,10,3
116,Boucle du mouhoun,Kossi,Nouna,Kossi,Barani,800,701,2019,10,1501
117,Boucle du mouhoun,Kossi,Nouna,Kossi,Nouna,68,73,2019,10,141
118,Boucle du mouhoun,Bale,Siby,Soum,Baraboule,19,15,2019,10,34
119,Boucle du mouhoun,Kossi,Bomborokuy,Kossi,Barani,687,613,2019,10,1300
120,Boucle du mouhoun,Kossi,Barani,Kossi,Barani,59,59,2019,10,118
121,Boucle du mouhoun,Kossi,Bomborokuy,Sourou,Toeni,1,4,2019,10,5
122,Boucle du mouhoun,Banwa,Kouka,Bam,Bourzanga,6,7,2019,10,13
123,Boucle du mouhoun,Banwa,Sanaba,Bam,Zimtenga,5,7,2019,10,12
124,Boucle du mouhoun,Mouhoun,Dedougou,Sourou,Di,5,3,2019,10,8
125,Est,Gourma,Matiacoali,Gourma,Matiacoali,295,334,2019,11,629
126,Est,Kompienga,Pama,Sanmatenga,Barsalogho,14,15,2019,11,29
127,Est,Kompienga,Pama,Sanmatenga,Kaya,4,2,2019,11,6
128,Est,Kompienga,Pama,Sanmatenga,Dablo,20,19,2019,11,39
129,Est,Kompienga,Pama,Kompienga,Pama,250,268,2019,11,518
130,Est,Kompienga,Pama,Sanmatenga,Boussouma,6,6,2019,11,12
131,Nord,Yatenga,Ouahigouya,Soum,Koutougou,2,3,2019,11,5
132,Nord,Yatenga,Ouahigouya,Soum,Djibo,25,26,2019,11,51
133,Est,Kompienga,Kompienga,Kompienga,Pama,35,52,2019,11,87
134,Est,Kompienga,Pama,Soum,Tongomayel,13,18,2019,11,31
135,Est,Kompienga,Pama,Sanmatenga,Pensa,21,16,2019,11,37
136,Nord,Loroum,Solle,Loroum,Solle,500,482,2019,11,982
137,Nord,Loroum,Solle,,,456,443,2019,11,899
138,Nord,Loroum,Titao,Loroum,Titao,2462,2807,2019,11,5269
139,Boucle du mouhoun,Sourou,Tougan,Sourou,Toeni,94,89,2019,11,183
140,Boucle du mouhoun,Sourou,Tougan,Sourou,Tougan,133,117,2019,11,250
141,Boucle du mouhoun,Sourou,Tougan,Sourou,Kassoum,25,24,2019,11,49
142,Boucle du mouhoun,Sourou,Lankoue,Sourou,Lankoue,6,7,2019,11,13
143,Boucle du mouhoun,Sourou,Tougan,Sourou,Gomboro,34,30,2019,11,64
144,Boucle du mouhoun,Sourou,Lankoue,Sourou,Gomboro,20,20,2019,11,40
145,Boucle du mouhoun,Sourou,Tougan,Sourou,Lanfiera,13,22,2019,11,35
146,Boucle du mouhoun,Sourou,Lankoue,Sourou,Toeni,5,4,2019,11,9
147,Nord,Loroum,Solle,Loroum,Titao,39,40,2019,11,79
148,Nord,Loroum,Solle,Soum,Baraboule,43,45,2019,11,88
149,Nord,Yatenga,Ouahigouya,Loroum,Titao,32,32,2019,11,64
150,Nord,Yatenga,Ouahigouya,Soum,Tongomayel,106,107,2019,11,213
151,Nord,Yatenga,Ouahigouya,,,83,77,2019,11,160
152,Nord,Yatenga,Ouahigouya,Soum,Baraboule,27,42,2019,11,69
153,Nord,Yatenga,Ouahigouya,Soum,Nassoumbou,14,11,2019,11,25
154,Nord,Yatenga,Ouahigouya,Loroum,Solle,21,27,2019,11,48
155,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Koutougou,30,32,2019,11,62
156,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Arbinda,15,15,2019,11,30
157,Boucle du mouhoun,Mouhoun,Dedougou,Bam,Bourzanga,13,6,2019,11,19
158,Nord,Yatenga,Ouahigouya,Loroum,Banh,86,51,2019,11,137
159,Boucle du mouhoun,Bale,Poura,Soum,Arbinda,105,142,2019,11,247
160,Boucle du mouhoun,Kossi,Djibasso,Kossi,Barani,403,383,2019,11,786
161,Boucle du mouhoun,Kossi,Djibasso,Soum,Djibo,7,7,2019,11,14
162,Boucle du mouhoun,Bale,Boromo,Soum,Djibo,12,19,2019,11,31
163,Boucle du mouhoun,Bale,Boromo,Sanmatenga,Kaya,6,5,2019,11,11
164,Boucle du mouhoun,Bale,Poura,Soum,Tongomayel,50,35,2019,11,85
165,Boucle du mouhoun,Bale,Fara,Sanmatenga,Barsalogho,6,3,2019,11,9
166,Boucle du mouhoun,Bale,Fara,Soum,Arbinda,4,5,2019,11,9
167,Boucle du mouhoun,Bale,Boromo,Soum,Kelbo,5,8,2019,11,13
168,Boucle du mouhoun,Sourou,Di,Soum,Tongomayel,24,22,2019,11,46
169,Nord,Yatenga,Kalsaka,Soum,Djibo,8,11,2019,11,19
170,Nord,Yatenga,Ouahigouya,Loroum,Ouindigui,8,12,2019,11,20
171,Boucle du mouhoun,Bale,Fara,Sanmatenga,Pensa,11,15,2019,11,26
172,Boucle du mouhoun,Sourou,Lanfiera,,,5,2,2019,11,7
173,Boucle du mouhoun,Sourou,Di,,,344,321,2019,11,665
174,Boucle du mouhoun,Nayala,Toma,Sourou,Di,0,4,2019,11,4
175,Boucle du mouhoun,Kossi,Djibasso,Kossi,Djibasso,8,6,2019,11,14
176,Boucle du mouhoun,Kossi,Nouna,Kossi,Barani,21,19,2019,11,40
177,Boucle du mouhoun,Sourou,Di,Sourou,Toeni,22,26,2019,11,48
178,Est,Gourma,Fada,Komondjari,Gayeri,76,80,2019,11,156
179,Est,Gourma,Fada,Gourma,Matiacoali,38,21,2019,11,59
180,Nord,Yatenga,Rambo,Soum,Arbinda,290,268,2019,11,558
181,Nord,Yatenga,Rambo,Seno,Dori,21,20,2019,11,41
182,Nord,Loroum,Titao,Loroum,Ouindigui,1166,1330,2019,11,2496
183,Nord,Yatenga,Rambo,Soum,Kelbo,56,44,2019,11,100
184,Nord,Yatenga,Kossouka,Soum,Tongomayel,292,313,2019,11,605
185,Nord,Yatenga,Kossouka,Bam,Bourzanga,77,94,2019,11,171
186,Nord,Loroum,Titao,Soum,Arbinda,5,3,2019,11,8
187,Nord,Yatenga,Rambo,Seno,Gorgadji,86,91,2019,11,177
188,Nord,Yatenga,Rambo,Oudalan,Gorom-gorom,15,18,2019,11,33
189,Nord,Yatenga,Rambo,Soum,Djibo,31,29,2019,11,60
190,Nord,Yatenga,Kossouka,Soum,Kelbo,197,226,2019,11,423
191,Nord,Yatenga,Rambo,Loroum,Titao,7,11,2019,11,18
192,Nord,Yatenga,Rambo,Soum,Tongomayel,14,9,2019,11,23
193,Nord,Yatenga,Seguenega,,,67,84,2019,11,151
194,Nord,Yatenga,Seguenega,Soum,Tongomayel,642,665,2019,11,1307
195,Nord,Yatenga,Seguenega,Soum,Kelbo,194,235,2019,11,429
196,Nord,Yatenga,Seguenega,Soum,Nassoumbou,34,62,2019,11,96
197,Boucle du mouhoun,Sourou,Kiembara,Soum,Arbinda,11,5,2019,11,16
198,Boucle du mouhoun,Sourou,Tougan,Sourou,Kiembara,21,23,2019,11,44
199,Boucle du mouhoun,Sourou,Tougan,Sourou,Di,25,21,2019,11,46
200,Boucle du mouhoun,Sourou,Kiembara,Sourou,Kiembara,110,105,2019,11,215
201,Boucle du mouhoun,Sourou,Tougan,,,27,29,2019,11,56
202,Boucle du mouhoun,Sourou,Lanfiera,Kossi,Nouna,3,9,2019,11,12
203,Boucle du mouhoun,Sourou,Kiembara,Soum,Tongomayel,3,3,2019,11,6
204,Boucle du mouhoun,Sourou,Kiembara,Sourou,Tougan,1,2,2019,11,3
205,Boucle du mouhoun,Sourou,Kiembara,Yatenga,Thiou,0,1,2019,11,1
206,Boucle du mouhoun,Sourou,Tougan,Yatenga,Thiou,4,1,2019,11,5
207,Nord,Yatenga,Ouahigouya,Bam,Bourzanga,21,20,2019,11,41
208,Nord,Loroum,Titao,Soum,Pobe-mangao,14,23,2019,11,37
209,Nord,Loroum,Titao,Loroum,Solle,15,22,2019,11,37
210,Nord,Yatenga,Ouahigouya,Seno,Gorgadji,4,10,2019,11,14
211,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Pobe-mangao,15,10,2019,11,25
212,Nord,Zondoma,Gourcy,Loroum,Titao,10,6,2019,11,16
213,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Djibo,4,3,2019,11,7
214,Nord,Loroum,Titao,Soum,Djibo,14,24,2019,11,38
215,Est,Gourma,Fada,Gourma,Fada,304,367,2019,12,671
216,Nord,Loroum,Titao,Loroum,Titao,118,155,2019,12,273
217,Est,Gourma,Fada,Gourma,Matiacoali,93,94,2019,12,187
218,Nord,Loroum,Titao,Soum,Pobe-mangao,96,90,2019,12,186
219,Nord,Loroum,Titao,Loroum,Ouindigui,112,123,2019,12,235
220,Nord,Loroum,Titao,Loroum,Solle,12,19,2019,12,31
221,Est,Gourma,Fada,Koulpelogo,Comin-yanga,12,10,2019,12,22
222,Nord,Yatenga,Kalsaka,Loroum,Ouindigui,0,2,2019,12,2
223,Nord,Yatenga,Kalsaka,Bam,Bourzanga,5,2,2019,12,7
224,Nord,Yatenga,Kalsaka,Soum,Tongomayel,6,4,2019,12,10
225,Boucle du mouhoun,Mouhoun,Dedougou,Soum,Arbinda,6,8,2019,12,14
226,Est,Tapoa,Tambaga,Tapoa,Partiaga,95,95,2019,12,190
227,Centre-nord,Namentenga,Zeguedeguin,Kompienga,Pama,29,32,2019,12,61
228,Centre-nord,Namentenga,Zeguedeguin,Gourma,Matiacoali,16,27,2019,12,43
229,Centre-nord,Namentenga,Yalgo,Seno,Gorgadji,273,342,2019,12,615
230,Centre-nord,Namentenga,Yalgo,Soum,Arbinda,607,703,2019,12,1310
231,Centre-nord,Namentenga,Yalgo,Sanmatenga,Barsalogho,98,120,2019,12,218
232,Boucle du mouhoun,Nayala,Gassan,Sourou,Lanfiera,12,1,2019,12,13
233,Boucle du mouhoun,Nayala,Kougny,Sourou,Lanfiera,1,3,2019,12,4
234,Centre-nord,Namentenga,Yalgo,Sanmatenga,Pensa,62,56,2019,12,118
235,Centre-nord,Namentenga,Yalgo,Seno,Dori,20,18,2019,12,38
236,Centre-nord,Namentenga,Yalgo,Namentenga,Bouroum,109,118,2019,12,227
237,Centre-nord,Namentenga,Zeguedeguin,Seno,Gorgadji,0,1,2019,12,1
238,Centre-nord,Namentenga,Zeguedeguin,Gourma,Fada,16,20,2019,12,36
239,Centre-nord,Namentenga,Yalgo,Gourma,Fada,10,14,2019,12,24
240,Centre-nord,Namentenga,Zeguedeguin,Komondjari,Foutouri,3,5,2019,12,8
241,Centre-nord,Namentenga,Yalgo,Sanmatenga,Pissila,12,14,2019,12,26
242,Centre-nord,Namentenga,Zeguedeguin,Koulpelogo,Comin-yanga,25,28,2019,12,53
243,Centre-nord,Namentenga,Yalgo,Sanmatenga,Dablo,6,7,2019,12,13
244,Centre-nord,Namentenga,Yalgo,Soum,Djibo,4,3,2019,12,7
245,Centre-nord,Namentenga,Bouroum,Sanmatenga,Pensa,605,613,2019,12,1218
246,Centre-nord,Namentenga,Bouroum,Soum,Arbinda,461,486,2019,12,947
247,Centre-nord,Namentenga,Bouroum,Seno,Dori,44,36,2019,12,80
248,Centre-nord,Namentenga,Boulsa,Sanmatenga,Pensa,9,5,2019,12,14
249,Centre-nord,Namentenga,Bouroum,Namentenga,Bouroum,75,81,2019,12,156
250,Centre-nord,Namentenga,Bouroum,Sanmatenga,Kaya,5,1,2019,12,6
251,Centre-nord,Namentenga,Bouroum,Kompienga,Pama,4,6,2019,12,10
252,Centre-nord,Namentenga,Bouroum,Sanmatenga,Barsalogho,49,62,2019,12,111
253,Centre-nord,Namentenga,Bouroum,Seno,Gorgadji,26,26,2019,12,52
254,Centre-nord,Namentenga,Bouroum,Soum,Tongomayel,17,23,2019,12,40
255,Centre-nord,Namentenga,Bouroum,Seno,Bani,12,22,2019,12,34
256,Centre-nord,Namentenga,Bouroum,Namentenga,Tougouri,3,3,2019,12,6
257,Centre-nord,Namentenga,Bouroum,Sanmatenga,Pissila,27,36,2019,12,63
258,Centre-nord,Namentenga,Bouroum,Soum,Kelbo,16,18,2019,12,34
259,Centre-nord,Namentenga,Bouroum,Oudalan,Gorom-gorom,10,9,2019,12,19
260,Centre-nord,Namentenga,Bouroum,Namentenga,Nagbingou,0,1,2019,12,1
261,Centre-nord,Namentenga,Boulsa,Gourma,Fada,71,93,2019,12,164
262,Centre-nord,Sanmatenga,Mane,Bam,Bourzanga,79,82,2019,12,161
263,Centre-nord,Namentenga,Yalgo,Soum,Tongomayel,13,11,2019,12,24
264,Centre-nord,Namentenga,Boulsa,Kompienga,Kompienga,0,2,2019,12,2
265,Centre-nord,Namentenga,Boulsa,Koulpelogo,Comin-yanga,18,19,2019,12,37
266,Centre-nord,Namentenga,Boulsa,Gourma,Matiacoali,18,9,2019,12,27
267,Centre-nord,Sanmatenga,Mane,Soum,Tongomayel,99,105,2019,12,204
268,Centre-nord,Namentenga,Boulsa,Komondjari,Gayeri,3,5,2019,12,8
269,Centre-nord,Namentenga,Boulsa,Kompienga,Pama,4,6,2019,12,10
270,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Barsalogho,1032,1201,2019,12,2233
271,Centre-nord,Namentenga,Nagbingou,Sanmatenga,Pensa,93,69,2019,12,162
272,Centre-nord,Namentenga,Nagbingou,Soum,Arbinda,64,74,2019,12,138
273,Centre-nord,Namentenga,Nagbingou,Namentenga,Bouroum,102,109,2019,12,211
274,Centre-nord,Namentenga,Nagbingou,Sanmatenga,Barsalogho,8,11,2019,12,19
275,Centre-nord,Namentenga,Nagbingou,Oudalan,Gorom-gorom,7,6,2019,12,13
276,Centre-nord,Sanmatenga,Barsalogho,Soum,Arbinda,39,58,2019,12,97
277,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Dablo,143,156,2019,12,299
278,Centre-nord,Sanmatenga,Barsalogho,Soum,Tongomayel,107,155,2019,12,262
279,Centre-nord,Namentenga,Nagbingou,Sanmatenga,Pissila,17,16,2019,12,33
280,Centre-nord,Namentenga,Dargo,Gourma,Matiacoali,19,25,2019,12,44
281,Centre-nord,Namentenga,Dargo,Gourma,Fada,21,26,2019,12,47
282,Centre-nord,Sanmatenga,Barsalogho,Soum,Koutougou,17,26,2019,12,43
283,Centre-nord,Namentenga,Nagbingou,Soum,Arbinda,99,121,2020,1,220
284,Centre-nord,Namentenga,Nagbingou,Sanmatenga,Barsalogho,8,16,2020,1,24
285,Centre-nord,Namentenga,Nagbingou,Komondjari,Bartiebougou,5,5,2020,1,10
286,Centre-nord,Namentenga,Nagbingou,Seno,Gorgadji,170,174,2020,1,344
287,Centre-nord,Namentenga,Yalgo,Seno,Gorgadji,1289,1575,2020,1,2864
288,Centre-nord,Namentenga,Yalgo,Soum,Arbinda,334,432,2020,1,766
289,Centre-nord,Namentenga,Yalgo,Seno,Bani,53,78,2020,1,131
290,Centre-nord,Namentenga,Yalgo,Sanmatenga,Barsalogho,54,71,2020,1,125
291,Centre-nord,Namentenga,Nagbingou,Namentenga,Bouroum,98,109,2020,1,207
292,Centre-nord,Namentenga,Nagbingou,Kompienga,Pama,2,7,2020,1,9
293,Centre-nord,Namentenga,Nagbingou,Sanmatenga,Pensa,80,103,2020,1,183
294,Centre-nord,Namentenga,Yalgo,Soum,Tongomayel,35,36,2020,1,71
295,Centre-nord,Namentenga,Bouroum,Namentenga,Bouroum,849,852,2020,1,1701
296,Centre-nord,Namentenga,Nagbingou,Seno,Dori,2,2,2020,1,4
297,Centre-nord,Namentenga,Yalgo,Namentenga,Bouroum,167,214,2020,1,381
298,Centre-nord,Namentenga,Yalgo,Seno,Dori,23,38,2020,1,61
299,Centre-nord,Namentenga,Yalgo,Sanmatenga,Pissila,7,8,2020,1,15
300,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Barsalogho,16226,19725,2020,1,35951
301,Centre-nord,Sanmatenga,Mane,Bam,Zimtenga,199,178,2020,1,377
302,Centre-nord,Sanmatenga,Mane,Soum,Kelbo,258,294,2020,1,552
303,Centre-nord,Sanmatenga,Mane,Bam,Bourzanga,234,263,2020,1,497
304,Centre-nord,Sanmatenga,Barsalogho,Soum,Arbinda,1534,1831,2020,1,3365
305,Centre-nord,Sanmatenga,Barsalogho,Soum,Tongomayel,639,837,2020,1,1476
306,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Dablo,2130,2615,2020,1,4745
307,Centre-nord,Sanmatenga,Barsalogho,Soum,Kelbo,348,448,2020,1,796
308,Centre-nord,Namentenga,Yalgo,Komondjari,Bartiebougou,29,28,2020,1,57
309,Centre-nord,Namentenga,Yalgo,Sanmatenga,Pensa,57,82,2020,1,139
310,Centre-nord,Namentenga,Yalgo,Soum,Djibo,14,17,2020,1,31
311,Centre-nord,Bam,Kongoussi,Bam,Zimtenga,3614,4769,2020,1,8383
312,Centre-nord,Bam,Kongoussi,Bam,Bourzanga,1915,2511,2020,1,4426
313,Centre-nord,Namentenga,Yalgo,Sanmatenga,Dablo,15,21,2020,1,36
314,Centre-nord,Bam,Kongoussi,Bam,Kongoussi,851,998,2020,1,1849
315,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Pissila,835,1172,2020,1,2007
316,Centre-nord,Sanmatenga,Mane,Sanmatenga,Dablo,31,38,2020,1,69
317,Centre-nord,Namentenga,Yalgo,Komondjari,Foutouri,2,5,2020,1,7
318,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Boussouma,9,11,2020,1,20
319,Centre-nord,Sanmatenga,Boussouma,Sanmatenga,Pensa,73,86,2020,1,159
320,Centre-nord,Sanmatenga,Boussouma,Sanmatenga,Dablo,161,159,2020,1,320
321,Centre-nord,Sanmatenga,Boussouma,Sanmatenga,Barsalogho,256,271,2020,1,527
322,Centre-nord,Sanmatenga,Boussouma,Soum,Arbinda,250,288,2020,1,538
323,Centre-nord,Sanmatenga,Boussouma,Koulpelogo,Soudougui,6,4,2020,1,10
324,Centre-nord,Sanmatenga,Barsalogho,Sanmatenga,Pensa,219,245,2020,1,464
325,Centre-nord,Sanmatenga,Barsalogho,Soum,Djibo,45,56,2020,1,101
326,Centre-nord,Namentenga,Boulsa,Kompienga,Pama,15,26,2020,1,41
327,Centre-nord,Namentenga,Boulsa,Gourma,Fada,119,161,2020,1,280
328,Centre-nord,Namentenga,Boulsa,Komondjari,Bartiebougou,3,5,2020,1,8
329,Centre-nord,Sanmatenga,Boussouma,Sanmatenga,Boussouma,24,23,2020,1,47
